task	horizon	eval_budget	mean_success_rate	sample_std	num_seeds	eval_seeds	episodes_per_seed
tworoom	25	50	100.000000	0.000000	3	32,42,52	50
tworoom	50	100	100.000000	0.000000	3	32,42,52	50
tworoom	75	150	100.000000	0.000000	3	32,42,52	50
tworoom	100	200	100.000000	0.000000	3	32,42,52	50
reacher	25	50	100.000000	0.000000	3	32,42,52	50
reacher	50	100	99.333333	1.154701	3	32,42,52	50
reacher	75	150	98.000000	0.000000	3	32,42,52	50
reacher	100	200	99.333333	1.154701	3	32,42,52	50
pusht	25	50	88.000000	4.000000	3	32,42,52	50
pusht	50	100	71.333333	4.163332	3	32,42,52	50
pusht	75	150	48.666667	17.925773	3	32,42,52	50
pusht	100	200	39.333333	1.154701	3	32,42,52	50
cube	25	50	99.333333	1.154701	3	32,42,52	50
cube	50	100	92.000000	6.000000	3	32,42,52	50
cube	75	150	76.666667	9.018500	3	32,42,52	50
cube	100	200	80.666667	5.773503	3	32,42,52	50
macro	25	50	96.833333	1.258306	3	32,42,52	50
macro	50	100	90.666667	0.763763	3	32,42,52	50
macro	75	150	80.833333	2.565801	3	32,42,52	50
macro	100	200	79.833333	1.607275	3	32,42,52	50
