seed	task	horizon	eval_budget	success_rate	successes	num_eval
32	tworoom	25	50	100.0	50	50
42	tworoom	25	50	100.0	50	50
52	tworoom	25	50	100.0	50	50
32	tworoom	50	100	100.0	50	50
42	tworoom	50	100	100.0	50	50
52	tworoom	50	100	100.0	50	50
32	tworoom	75	150	100.0	50	50
42	tworoom	75	150	100.0	50	50
52	tworoom	75	150	100.0	50	50
32	tworoom	100	200	100.0	50	50
42	tworoom	100	200	100.0	50	50
52	tworoom	100	200	100.0	50	50
32	reacher	25	50	100.0	50	50
42	reacher	25	50	100.0	50	50
52	reacher	25	50	100.0	50	50
32	reacher	50	100	98.0	49	50
42	reacher	50	100	100.0	50	50
52	reacher	50	100	100.0	50	50
32	reacher	75	150	98.0	49	50
42	reacher	75	150	98.0	49	50
52	reacher	75	150	98.0	49	50
32	reacher	100	200	98.0	49	50
42	reacher	100	200	100.0	50	50
52	reacher	100	200	100.0	50	50
32	pusht	25	50	84.0	42	50
42	pusht	25	50	92.0	46	50
52	pusht	25	50	88.0	44	50
32	pusht	50	100	76.0	38	50
42	pusht	50	100	68.0	34	50
52	pusht	50	100	70.0	35	50
32	pusht	75	150	60.0	30	50
42	pusht	75	150	28.0	14	50
52	pusht	75	150	58.0	29	50
32	pusht	100	200	40.0	20	50
42	pusht	100	200	40.0	20	50
52	pusht	100	200	38.0	19	50
32	cube	25	50	98.0	49	50
42	cube	25	50	100.0	50	50
52	cube	25	50	100.0	50	50
32	cube	50	100	86.0	43	50
42	cube	50	100	98.0	49	50
52	cube	50	100	92.0	46	50
32	cube	75	150	68.0	34	50
42	cube	75	150	86.0	43	50
52	cube	75	150	76.0	38	50
32	cube	100	200	74.0	37	50
42	cube	100	200	84.0	42	50
52	cube	100	200	84.0	42	50
