task	horizon	eval_budget	mean_success_rate	sample_std	num_seeds	eval_seeds	episodes_per_seed
cube	25	50	72.666667	7.571878	3	0,1,42	50
cube	50	100	57.333333	3.055050	3	0,1,42	50
cube	75	150	70.000000	4.000000	3	0,1,42	50
cube	100	200	62.000000	7.211103	3	0,1,42	50
pusht	25	50	80.000000	6.000000	3	0,1,42	50
pusht	50	100	34.666667	10.263203	3	0,1,42	50
pusht	75	150	16.000000	3.464102	3	0,1,42	50
pusht	100	200	14.000000	6.000000	3	0,1,42	50
reacher	25	50	99.333333	1.154701	3	0,1,42	50
reacher	50	100	99.333333	1.154701	3	0,1,42	50
reacher	75	150	98.666667	2.309401	3	0,1,42	50
reacher	100	200	97.333333	2.309401	3	0,1,42	50
tworoom	25	50	97.333333	1.154701	3	0,1,42	50
tworoom	50	100	84.666667	6.110101	3	0,1,42	50
tworoom	75	150	76.000000	5.291503	3	0,1,42	50
tworoom	100	200	60.000000	3.464102	3	0,1,42	50

