seed	task	horizon	eval_budget	success_rate	successes	num_eval
0	cube	25	50	78.0	39	50
0	pusht	25	50	80.0	40	50
0	reacher	25	50	100.0	50	50
0	tworoom	25	50	98.0	49	50
0	cube	50	100	58.0	29	50
0	pusht	50	100	32.0	16	50
0	reacher	50	100	98.0	49	50
0	tworoom	50	100	78.0	39	50
0	cube	75	150	66.0	33	50
0	pusht	75	150	18.0	9	50
0	reacher	75	150	96.0	48	50
0	tworoom	75	150	72.0	36	50
0	cube	100	200	54.0	27	50
0	pusht	100	200	20.0	10	50
0	reacher	100	200	96.0	48	50
0	tworoom	100	200	56.0	28	50
1	cube	25	50	64.0	32	50
1	pusht	25	50	74.0	37	50
1	reacher	25	50	98.0	49	50
1	tworoom	25	50	96.0	48	50
1	cube	50	100	54.0	27	50
1	pusht	50	100	26.0	13	50
1	reacher	50	100	100.0	50	50
1	tworoom	50	100	90.0	45	50
1	cube	75	150	70.0	35	50
1	pusht	75	150	12.0	6	50
1	reacher	75	150	100.0	50	50
1	tworoom	75	150	82.0	41	50
1	cube	100	200	64.0	32	50
1	pusht	100	200	8.0	4	50
1	reacher	100	200	96.0	48	50
1	tworoom	100	200	62.0	31	50
42	cube	25	50	76.0	38	50
42	pusht	25	50	86.0	43	50
42	reacher	25	50	100.0	50	50
42	tworoom	25	50	98.0	49	50
42	cube	50	100	60.0	30	50
42	pusht	50	100	46.0	23	50
42	reacher	50	100	100.0	50	50
42	tworoom	50	100	86.0	43	50
42	cube	75	150	74.0	37	50
42	pusht	75	150	18.0	9	50
42	reacher	75	150	100.0	50	50
42	tworoom	75	150	74.0	37	50
42	cube	100	200	68.0	34	50
42	pusht	100	200	14.0	7	50
42	reacher	100	200	100.0	50	50
42	tworoom	100	200	62.0	31	50
